driverId,teamDeltaAvg,teamDeltaNormAvg,teamDeltaSum,teamDeltaNormSum,driverRef,avgWins,avgPoints,totalWins,totalPoints,avgWinsNorm,avgPointsNorm
657,0.0,0.0,0.0,0.0,vukovich,1.0,25.0,2.0,50.0,1.0,25.0
375,0.0,0.0,0.0,0.0,scarfiotti,1.0,25.0,1.0,25.0,1.0,25.0
766,0.0,0.0,0.0,0.0,wallard,1.0,25.0,1.0,25.0,1.0,25.0
373,2409.375,2905.521923689161,77100.0,92976.70155805316,clark,2.7777777777777777,80.77777777777777,25.0,727.0,0.7138888888888889,21.98611111111111
579,2575.675675675676,2779.459634106433,95300.0,102840.00646193803,fangio,3.0,102.0,24.0,816.0,0.6020833333333333,21.339583333333334
647,287.5,291.62355709735664,4600.0,4665.976913557706,ascari,3.25,97.75,13.0,391.0,0.5833333333333334,21.833333333333332
475,3262.962962962963,4145.828212365482,88100.0,111937.361733868,moss,2.2857142857142856,79.71428571428571,16.0,558.0,0.5785714285714285,20.62142857142857
786,23050.0,22471.073485963443,138300.0,134826.44091578067,fagioli,0.5,56.0,1.0,112.0,0.5,21.2
479,0.0,0.0,0.0,0.0,brooks,1.5,56.5,6.0,226.0,0.5,19.9375
526,86340.0,62759.544589878664,172680.0,125519.08917975733,ruttman,0.5,18.5,1.0,37.0,0.5,18.5
320,0.0,0.0,0.0,0.0,gethin,0.5,16.5,1.0,33.0,0.5,16.5
628,0.0,0.0,0.0,0.0,sweikert,0.5,16.5,1.0,33.0,0.5,16.5
219,7432.5,12348.725003489044,29730.0,49394.900013956176,jabouille,0.5,15.5,2.0,62.0,0.5,15.5
394,148000.0,156122.4474525027,444000.0,468367.34235750814,baghetti,0.5,18.0,1.0,36.0,0.5,15.25
559,233270.0,166152.2857246646,466540.0,332304.5714493292,flaherty,0.5,13.0,1.0,26.0,0.5,13.0
328,11372.88,14984.04869228254,568644.0,749202.434614127,stewart,3.0,111.33333333333333,27.0,1002.0,0.4986531986531987,19.77121212121212
102,2643.8117647058825,4329.4107189124325,224724.0,367999.9111075568,senna,4.1,172.0,41.0,1720.0,0.4354062604062604,19.865970695970695
117,4789.27731092437,8077.006463227508,569924.0,961163.7691240734,prost,3.923076923076923,179.07692307692307,51.0,2328.0,0.3954468608314762,18.797814365122058
30,2436.557077625571,4466.248113724411,533606.0,978108.3369056461,michael_schumacher,4.7894736842105265,200.57894736842104,91.0,3811.0,0.3737840547825068,16.77564385648751
1,5433.241134751773,9616.870749565638,1532174.0,2711957.5513775097,hamilton,6.0588235294117645,286.29411764705884,103.0,4867.0,0.3492818696105893,16.959789106561097
641,117450.0,96459.86103957439,469800.0,385839.44415829756,taruffi,0.3333333333333333,23.666666666666668,1.0,71.0,0.3333333333333333,19.0
345,0.0,0.0,0.0,0.0,rodriguez,0.5,36.0,2.0,144.0,0.3333333333333333,17.416666666666664
449,128203.33333333333,91758.67407164285,384610.0,275276.0222149285,ward,0.3333333333333333,15.666666666666666,1.0,47.0,0.3333333333333333,15.666666666666666
95,6165.971014492754,11276.0771022725,425452.0,778049.3200568025,mansell,2.3846153846153846,103.3076923076923,31.0,1343.0,0.31495726495726495,17.69920634920635
830,2846.5693430656934,4592.859302674856,389980.0,629221.7244664553,max_verstappen,5.0,251.0,45.0,2259.0,0.3082310897068379,15.933834995986697
71,7946.701754385965,14217.920311396376,452962.0,810421.4577495934,damon_hill,3.142857142857143,145.42857142857142,22.0,1018.0,0.30086580086580084,15.727922077922077
